Library	License	Homepage	About	Memo
aws-checksums	Apache-2.0	https://github.com/awslabs/aws-checksums	Cross-Platform HW accelerated CRC32c and CRC32 with fallback to efficient SW implementations.	
aws-crt-cpp	Apache-2.0	https://github.com/awslabs/aws-crt-cpp	C++ wrapper around the aws-c-* libraries. Provides Cross-Platform Transport Protocols and SSL/TLS implementations for C++.	
aws-lambda-cpp	Apache-2.0		C++ Runtime for AWS Lambda.	
aws-sdk-cpp	Apache-2.0	https://github.com/aws/aws-sdk-cpp	AWS SDK for C++	
azmq		https://github.com/zeromq/azmq	['Boost Asio style bindings for ZeroMQ', "This library is built on top of ZeroMQ's standard C interface and is intended to work well with C++ applications which use the Boost libraries in general, and Asio in particular.", "The main abstraction exposed by the library is azmq::socket which provides an Asio style socket interface to the underlying zeromq socket and interfaces with Asio's io_service(). The socket implementation participates in the io_service's reactor for asynchronous IO and may be freely mixed with other Asio socket types (raw TCP/UDP/Serial/etc.)."]	
azure-c-shared-utility	MIT	https://github.com/Azure/azure-c-shared-utility	Azure C SDKs common code	
azure-core-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/core/azure-core	['Microsoft Azure Core SDK for C++', 'This library provides shared primitives, abstractions, and helpers for modern Azure SDK client libraries written in the C++.']	
azure-core-tracing-opentelemetry-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/core/azure-core-tracing-opentelemetry	['Microsoft Azure Core Tracing OpenTelemetry SDK for C++', 'This library provides support for modern Azure SDK client libraries written in C++ to leverage OpenTelemetry APIs.']	
azure-identity-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/identity/azure-identity	['Microsoft Azure Identity SDK for C++', 'This library provides common authentication-related abstractions for Azure SDK.']	
azure-iot-sdk-c	MIT	https://github.com/Azure/azure-iot-sdk-c	A C99 SDK for connecting devices to Microsoft Azure IoT services	
azure-kinect-sensor-sdk		https://github.com/microsoft/Azure-Kinect-Sensor-SDK	Azure Kinect SDK is a cross platform (Linux and Windows) user mode SDK to read data from your Azure Kinect device.	
azure-macro-utils-c	MIT		A library of macros for the Azure IoT SDK Suite	
azure-security-attestation-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/attestation/azure-security-attestation	['Microsoft Azure Attestation Service SDK for C++', 'This library provides API access to the Microsoft Azure Attestation service.']	
azure-security-keyvault-certificates-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/keyvault/azure-security-keyvault-certificates	['Microsoft Azure Key Vault Certificates SDK for C++', 'This library provides Azure Key Vault Certificates SDK.']	
azure-security-keyvault-keys-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/keyvault/azure-security-keyvault-keys	['Microsoft Azure Key Vault Keys SDK for C++', 'This library provides Azure Key Vault Keys SDK.']	
azure-security-keyvault-secrets-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/keyvault/azure-security-keyvault-secrets	['Microsoft Azure Key Vault Secrets SDK for C++', 'This library provides Azure Key Vault Secrets SDK.']	
azure-storage-blobs-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/storage/azure-storage-blobs	['Microsoft Azure Storage Blobs SDK for C++', 'This library provides Azure Storage Blobs SDK.']	
azure-storage-common-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/storage/azure-storage-common	['Microsoft Azure Common Storage SDK for C++', 'This library provides common Azure Storage-related abstractions for Azure SDK.']	
azure-storage-cpp		https://blogs.msdn.com/b/windowsazurestorage/	['[legacy] Microsoft Azure Storage Client SDK for C++', 'A client library for working with Microsoft Azure storage services including blobs, files, tables, and queues. This client library enables working with the Microsoft Azure storage services which include the blob service for storing binary and text data, the file service for storing binary and text data, the table service for storing structured non-relational data, and the queue service for storing messages that may be accessed by a client.']	
azure-storage-files-datalake-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/storage/azure-storage-files-datalake	['Microsoft Azure Storage Files Data Lake SDK for C++', 'This library provides Azure Storage Files Data Lake SDK.']	
azure-storage-files-shares-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/storage/azure-storage-files-shares	['Microsoft Azure Storage Files Shares SDK for C++', 'This library provides Azure Storage Files Shares SDK.']	
azure-storage-queues-cpp	MIT	https://github.com/Azure/azure-sdk-for-cpp/tree/main/sdk/storage/azure-storage-queues	['Microsoft Azure Storage Queues SDK for C++', 'This library provides Azure Storage Queues SDK.']	
azure-uamqp-c	MIT	https://github.com/Azure/azure-uamqp-c	AMQP library for C	
azure-uhttp-c	MIT	https://github.com/Azure/azure-uhttp-c	Azure HTTP Library written in C	
azure-umqtt-c	MIT	https://github.com/Azure/azure-umqtt-c	General purpose library for communication over the mqtt protocol	
b64	None		libb64 is a library of ANSI C routines for fast encoding/decoding data into and from a base64-encoded format	
