Library	License	Homepage	About	Memo
libosmscout		http://libosmscout.sourceforge.net/	libosmscout offers applications simple, high-level interfaces for offline location and POI lokup, rendering and routing functionalities based on OpenStreetMap (OSM) data.	
libp7-baical			An old name for the port libp7client; please install libp7client instead.	
libp7client		https://baical.net/	Open source, cross-platform, fastest library for sending logs, telemetry & trace data from your application.	
libpcap		https://www.tcpdump.org/	A portable C/C++ library for network traffic capture	
libpff	LGPL-3.0	https://github.com/libyal/libpff	Library and tools to access the Personal Folder File (PFF) and the Offline Folder File (OFF) format.	
libphonenumber	Apache-2.0		Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.	
libplist	LGPL-2.1-only	https://libimobiledevice.org/	A library to handle Apple Property List format in binary or XML	
libpmemobj-cpp		https://github.com/pmem/libpmemobj-cpp	C++ bindings for libpmemobj (https://github.com/pmem/pmdk)	
libpng	libpng-2.0	https://github.com/glennrp/libpng	libpng is a library implementing an interface for reading and writing PNG (Portable Network Graphics) format files	
libpopt			Library for parsing command line parameters	
libpq	PostgreSQL	https://www.postgresql.org/	The official database access API of postgresql	
libpqxx	BSD-3-Clause	https://www.postgresql.org/	The official C++ client API for PostgreSQL	
libprotobuf-mutator			Library for structured fuzzing with protobuffers.	
libproxy	LGPL-2.1-only	https://github.com/libproxy/libproxy	libproxy is a library that provides automatic proxy configuration management.	
libqcow		https://github.com/libyal/libqcow	Library and tools to access the QEMU Copy-On-Write (QCOW) image format.	
libqglviewer			libQGLViewer is an open source C++ library based on Qt that eases the creation of OpenGL 3D viewers.	
libqrencode		https://github.com/fukuchi/libqrencode	libqrencode - a fast and compact QR Code encoding library	
librabbitmq	MIT	https://github.com/alanxz/rabbitmq-c	A C-language AMQP client library for use with v2.0+ of the RabbitMQ broker.	
libraqm			A library for complex text layout	
libraw		https://www.libraw.org	raw image decoder library	
librdkafka	None	https://github.com/edenhill/librdkafka	The Apache Kafka C/C++ library	
libressl			LibreSSL is a version of the TLS/crypto stack forked from OpenSSL in 2014, with goals of modernizing the codebase, improving security, and applying best practice development processes.	
librsvg		https://gitlab.gnome.org/GNOME/librsvg	A small library to render Scalable Vector Graphics (SVG)	
librsync		http://librsync.sourcefrog.net/	librsync is a library for calculating and applying network deltas, with an interface designed to ease integration into diverse network applications.	
librtmp		https://rtmpdump.mplayerhq.hu	RTMPDump Real-Time Messaging Protocol API	
librttopo	GPL-2.0-or-later	https://git.osgeo.org/gitea/rttopo/librttopo	The RT Topology Library exposes an API to create and manage standard (ISO 13249 aka SQL/MM) topologies using user-provided data stores.	
libsamplerate	BSD-2-Clause	http://libsndfile.github.io/libsamplerate/	Sample Rate Converter for audio	
libsass		https://github.com/sass/libsass	LibSass - Sass compiler written in C++	
libsbml			A library for reading / writing SBML files	
libsbsms	GPL-2.0-or-later	https://github.com/claytonotey/libsbsms	libsbsms is a library for high quality time and pitch scale modification of digital audio. It uses octave subband sinusoidal modeling.	
libsecret	LGPL-2.1-or-later	https://gitlab.gnome.org/GNOME/libsecret/	libsecret is a GObject-based library for accessing the Secret Service API of the freedesktop.org project, a cross-desktop effort to access passwords, tokens and other types of secrets. libsecret provides a convenient wrapper for these methods so consumers do not have to call the low-level DBus methods.	
libsercomm	MIT	https://github.com/ingeniamc/sercomm	Multiplatform serial communications library	
libsigcpp	LGPL-3.0-or-later	https://libsigcplusplus.github.io/libsigcplusplus/	Typesafe callback framework for C++	
libsigcpp-3		https://libsigcplusplus.github.io/libsigcplusplus/	Typesafe callback framework for C++	
libslirp	BSD-3-Clause	https://gitlab.freedesktop.org/slirp/libslirp	libslirp is a user-mode networking library used by virtual machines, containers or various tools.	
libsm	None	https://gitlab.freedesktop.org/xorg/lib/libsm	X Session Management Library	
libsmacker	LGPL-2.1-or-later	https://libsmacker.sourceforge.net	libsmacker is a cross-platform C library which can be used for decoding Smacker Video files produced by RAD Game Tools	
libsmb2		https://github.com/sahlberg/libsmb2	SMB2/3 Userspace Client	
libsndfile	LGPL-2.1-or-later	https://github.com/erikd/libsndfile	A library for reading and writing audio files	
libsnoretoast		https://invent.kde.org/libraries/snoretoast	A tool to create Windows Toast notifications and parse them on Windows 8 or later.	
libsodium	ISC	https://github.com/jedisct1/libsodium	A modern and easy-to-use crypto library	
libsoundio		http://libsound.io/	libsoundio is C library providing cross-platform audio input and output.	
libspatialindex	MIT	http://libspatialindex.github.com	C++ implementation of R*-tree, an MVR-tree and a TPR-tree with C API.	
libspatialite	None	https://www.gaia-gis.it/gaia-sins/libspatialite-sources	SpatiaLite is an open source library intended to extend the SQLite core to support fully fledged Spatial SQL capabilities.	
libspnav		https://github.com/FreeSpacenav/libspnav	Library for communicating with spacenavd or 3dxsrv to get input from 6-dof devices.	
libsquish	MIT	https://sourceforge.net/projects/libsquish	Open source DXT compression library.	
libsrt	MPL-2.0	https://github.com/Haivision/srt	Secure Reliable Transport (SRT) is an open source transport technology that optimizes streaming performance across unpredictable networks, such as the Internet.	
libsrtp	None	https://github.com/cisco/libsrtp/	This package provides an implementation of the Secure Real-time Transport Protocol (SRTP), the Universal Security Transform (UST), and a supporting cryptographic kernel.	
libssh	LGPL-2.1-only	https://www.libssh.org/	libssh is a multiplatform C library implementing the SSHv2 protocol on client and server side	
libssh2	BSD-3-Clause	https://www.libssh2.org	libssh2 is a client-side C library implementing the SSH2 protocol.	
libstemmer		https://snowball.tartarus.org/	Snowball is a small string processing language designed for creating stemming algorithms for use in Information Retrieval	
libstk			The Synthesis ToolKit in C++ (STK) is a set of open source audio signal processing and algorithmic synthesis classes written in the C++ programming language.	
libsvm		https://www.csie.ntu.edu.tw/~cjlin/libsvm/	A library for Support Vector Machines.	
libtasn1	None	https://www.gnutls.org/	A secure communications library implementing the SSL, TLS and DTLS protocols	
libtcod	BSD-3-Clause	https://github.com/libtcod/libtcod	Common algorithms and tools for roguelikes.	
libtess2		https://github.com/memononen/libtess2	Game and tools oriented refactored version of GLU tesselator.	
libtheora	None	https://github.com/xiph/theora	Theora is a free and open video compression format from the Xiph.org Foundation.	
libtins	BSD-2-Clause		High-level, multiplatform C++ network packet sniffing and crafting library	
libtomcrypt		https://www.libtom.net/LibTomCrypt/	LibTomCrypt is a fairly comprehensive, modular and portable cryptographic toolkit that provides developers with a vast array of well known published block ciphers, one-way hash functions, chaining modes, pseudo-random number generators, public key cryptography and a plethora of other routines.	
libtommath		https://www.libtom.net/LibTomMath/	LibTomMath is a free open source portable number theoretic multiple-precision integer library written entirely in C.	
libtorch	None	https://pytorch.org/	Tensors and Dynamic neural networks in Python with strong GPU acceleration	
libtorrent	BSD-2-Clause	https://libtorrent.org	An efficient feature complete C++ BitTorrent implementation	
libu2f-server		https://developers.yubico.com/libu2f-server/	Yubico Universal 2nd Factor (U2F) Server C Library	
libudis86		https://github.com/vmt/udis86	Disassembler Library for x86 and x86-64	
libudns		https://github.com/ortclib/udns	The DNS library, udns, implements thread-safe stub DNS resolver functionality, which may be used both traditional, syncronous way and asyncronously, with application-supplied event loop.	
libui	MIT	https://github.com/andlabs/libui	Simple and portable (but not inflexible) native GUI library in C.	
libunibreak	zlib-acknowledgement	https://github.com/adah1972/libunibreak	an implementation of the line breaking and word breaking algorithms as described in [Unicode Standard Annex 14] 1 and [Unicode Standard Annex 29] 2. Check the project's [home page] 3 for up-to-date information.	
libunifex		https://github.com/facebookexperimental/libunifex	Unified Executors	
libunistring	LGPL-3.0-or-later OR GPL-2.0-or-later	https://www.gnu.org/software/libunistring/	GNU libunistring provides functions for manipulating Unicode strings and for manipulating C strings according to the Unicode standard.	
liburing	None	https://github.com/axboe/liburing	Linux-native io_uring I/O access library	
libusb	LGPL-2.1-or-later	https://github.com/libusb/libusb	a cross-platform library to access USB devices	
libusb-win32	LGPL-3.0-only	https://sourceforge.net/projects/libusb-win32	Allows user space applications to access many USB device on Windows.	
libusbmuxd	LGPL-2.1-only		A client library to multiplex connections from and to iOS devices	
libuuid		https://sourceforge.net/projects/libuuid	Universally unique id library	
libuv	BSD-3-Clause	https://github.com/libuv/libuv	libuv is a multi-platform support library with a focus on asynchronous I/O.	
libuvc		https://github.com/libuvc/libuvc	a cross-platform library for USB video devices	
libvmdk		https://github.com/libyal/libvmdk	Library and tools to access the VMware Virtual Disk (VMDK) format	
libvorbis	BSD-3-Clause	https://github.com/xiph/vorbis	Ogg Vorbis is a fully open, non-proprietary, patent-and-royalty-free, general-purpose compressed audio format	
libvpx	BSD-3-Clause	https://github.com/webmproject/libvpx	The reference software implementation for the video coding formats VP8 and VP9.	
libwandio	LGPL-3.0-only	https://github.com/wanduow/wandio	C library for simple and efficient file IO.	
libwebm		https://github.com/webmproject/libwebm	WebM File Parser	
libwebp	BSD-3-Clause	https://github.com/webmproject/libwebp	WebP codec: library to encode and decode images in WebP format	
libwebsockets		https://github.com/warmcat/libwebsockets	Libwebsockets is a lightweight pure C library built to use minimal CPU and memory resources, and provide fast throughput in both directions as client or server.	
libx11	MIT	https://www.x.org/wiki/	The X Window System is a network-transparent window system that was designed at MIT.	
libxau	MIT-open-group	https://gitlab.freedesktop.org/xorg/lib/libxau	Functions for handling Xauthority files and entries.	
libxaw	None	https://gitlab.freedesktop.org/xorg/lib/libxaw	X Athena Widget Set, based on the X Toolkit Intrinsics (Xt) Library	
libxcomposite	None	https://gitlab.freedesktop.org/xorg/lib/libxcomposite	Xlib-based client library for the Composite extension to the X11 protocol	
libxcvt	None	https://gitlab.freedesktop.org/xorg/lib/libxcvt	A library providing a standalone version of the X server implementation of the VESA CVT standard timing modelines generator.	
libxdamage	None	https://gitlab.freedesktop.org/xorg/lib/libxdamage	X Damage Extension library	
libxdiff		https://github.com/Drako/libxdiff	The LibXDiff library implements basic and yet complete functionalities to create file differences/patches to both binary and text files. The library uses memory files as file abstraction to achieve both performance and portability.	
libxdmcp	MIT-open-group	https://gitlab.freedesktop.org/xorg/lib/libxdmcp	X Display Manager Control Protocol library	
libxext	None	https://gitlab.freedesktop.org/xorg/lib/libxext	Xlib-based library for common extensions to the X11 protocol	
libxfixes	None	https://gitlab.freedesktop.org/xorg/lib/libxfixes	Xlib-based library for the XFIXES Extension	
libxfont	None	https://gitlab.freedesktop.org/xorg/lib/libxfont	X font handling library for server & utilities	
libxft	None	https://gitlab.freedesktop.org/xorg/lib/libxft	X FreeType library	
libxi	None	https://gitlab.freedesktop.org/xorg/lib/libxi	Xlib library for the X Input Extension	
libxinerama	None	https://gitlab.freedesktop.org/xorg/lib/libxinerama	Xlib API for Xinerama extension to X11 Protocol	
libxkbcommon	None	https://xkbcommon.org/	keymap handling library for toolkits and window systems	
libxkbfile	None	https://gitlab.freedesktop.org/xorg/lib/libxkbfile	XKB file handling routines	
libxlsxwriter	None	https://github.com/jmcnamara/libxlsxwriter	Libxlsxwriter is a C library that can be used to write text, numbers, formulas and hyperlinks to multiple worksheets in an Excel 2007+ XLSX file.	
libxml2	MIT	https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home	Libxml2 is the XML C parser and toolkit developed for the Gnome project (but usable outside of the Gnome platform).	
libxmlmm	MIT	https://github.com/rioki/libxmlmm	Libxmlmm is a C++ wrapper for libxml 2.0 that only relies on standard C++ and libxml2.	
libxmlpp			a C++ wrapper for the libxml XML parser library.	
libxmp-lite		https://sourceforge.net/projects/xmp/	Lightweight version of libxmp that supports MOD, S3M, XM and IT modules.	
libxmu	None	https://gitlab.freedesktop.org/xorg/lib/libxmu	X miscellaneous utility routines library	
libxpm	MIT	https://github.com/freedesktop/libXpm	XPM format pixmap library	
libxpresent	None	https://gitlab.freedesktop.org/xorg/lib/libxpresent	Xlib-based library for the X Present Extension	
libxrandr	None	https://gitlab.freedesktop.org/xorg/lib/libxrandr	Xlib Resize, Rotate and Reflection (RandR) extension library	
libxrender	None	https://gitlab.freedesktop.org/xorg/lib/libxrender	library for the Render Extension to the X11 protocol	
libxres	None	https://gitlab.freedesktop.org/xorg/lib/libxres	Xlib-based X-Resource extension client library	
libxscrnsaver	None	https://gitlab.freedesktop.org/xorg/lib/libxscrnsaver	Xlib-based X11 Screen Saver extension client library	
libxslt	None	https://github.com/GNOME/libxslt	Libxslt is a XSLT library implemented in C for XSLT 1.0 and most of EXSLT	
libxt	None	https://gitlab.freedesktop.org/xorg/lib/libxt	X Toolkit Intrinsics library	
libxtst	None	https://gitlab.freedesktop.org/xorg/lib/libxtst	Xlib-based library for XTEST & RECORD extensions	
libxv	None	https://gitlab.freedesktop.org/xorg/lib/libxv	Xlib-based library for the X Video (Xv) extension to the X Window System	
libxxf86vm	None	https://gitlab.freedesktop.org/xorg/lib/libxxf86vm	Xlib-based library for the XFree86-VidMode X extension	
libyaml		https://github.com/yaml/libyaml	A C library for parsing and emitting YAML.	
libyuv	None	https://chromium.googlesource.com/libyuv/libyuv	libyuv is an open source project that includes YUV scaling and conversion functionality	
libzen			ZenLib is a C++ utility library for easiest cross-platform development	
libzip	BSD-3-Clause	https://github.com/nih-at/libzip	A library for reading, creating, and modifying zip archives.	
libzippp	BSD-3-Clause	https://github.com/ctabin/libzippp	Simple basic C++ wrapper around the libzip library. It is meant to be a portable and easy-to-use library for ZIP handling	
licensepp		https://github.com/zuhd-org/licensepp	Cross platform software licensing library	
lilv	ISC	https://drobilla.net/software/lilv	Lilv is a C library for simple use of LV2 plugins in applications.	
linalg			linalg.h is a single header public domain linear algebra library for C++11	
linenoise-ng			A small, portable GNU readline replacement for Linux, Windows and MacOS which is capable of handling UTF-8 characters.	
linmath	WTFPL	https://github.com/datenwolf/linmath.h	linmath.h -- A small library for linear math as required for computer graphics	
lionkor-commandline	MIT	https://github.com/lionkor/commandline/	A C++ commandline for use in servers and chat software. Provides very simple asynchronous input/output.	
live555	GPL-3.0-or-later	http://www.live555.com/liveMedia	A complete RTSP server application	
llfio	Apache-2.0 OR BSL-1.0	https://github.com/ned14/llfio	P1031 low level file i/o and filesystem library for the C++ standard	
llgl		https://github.com/LukasBanana/LLGL	Low Level Graphics Library (LLGL) is a thin abstraction layer for the modern graphics APIs OpenGL, Direct3D, Vulkan, and Metal.	
llhttp	MIT	https://github.com/nodejs/llhttp	Port of http_parser to llparse.	
llvm	Apache-2.0	https://llvm.org	The LLVM Compiler Infrastructure.	
lmdb	None	https://github.com/LMDB/lmdb	LMDB is an extraordinarily fast, memory-efficient database	
lockpp	MIT	https://github.com/Soundux/lockpp	A C++17 Library that provides mutex protected objects	
lodepng		https://github.com/lvandeve/lodepng	PNG encoder and decoder in C++	
lodepng-c			Legacy port. Use port lodepng instead.	
log4cplus		https://github.com/log4cplus/log4cplus	A simple to use C++ logging API providing thread--safe, flexible, and arbitrarily granular control over log management and configuration	
log4cpp		https://github.com/orocos-toolchain/log4cpp	Log4cpp is library of C++ classes for flexible logging to files, syslog, IDSA and other destinations. It is modeled after the Log4j Java library, staying as close to their API as is reasonable.	
log4cxx	Apache-2.0	https://logging.apache.org/log4cxx	Apache log4cxx is a logging framework for C++ patterned after Apache log4j, which uses Apache Portable Runtime for most platform-specific code and should be usable on any platform supported by APR	
loguru		https://github.com/emilk/loguru	A lightweight and flexible C++ logging library	
lpeg		https://www.inf.puc-rio.br/~roberto/lpeg	LPeg is a pattern-matching library for Lua, based on Parsing Expression Grammars (PEGs).	
lua	None	https://www.lua.org	A powerful, fast, lightweight, embeddable scripting language	
lua-compat53	MIT	https://github.com/lunarmodules/lua-compat-5.3	provide Lua-5.3-style C APIs for Lua 5.2 and 5.1	
luabridge	MIT	https://github.com/vinniefalco/LuaBridge	A lightweight, dependency-free library for binding Lua to C++	
luabridge3	MIT	https://github.com/kunitoki/LuaBridge3	A lightweight, dependency-free, suitable for game development library for binding Lua to C++17	
luafilesystem		https://github.com/keplerproject/luafilesystem	LuaFileSystem is a Lua library developed to complement the set of functions related to file systems offered by the standard Lua distribution.	
luajit	MIT	https://github.com/LuaJIT/LuaJIT	LuaJIT is a Just-In-Time (JIT) compiler for the Lua programming language.	
luasec	MIT	https://github.com/brunoos/luasec	LuaSec depends on OpenSSL, and integrates with LuaSocket to make it easy to add secure connections to any Lua applications or scripts.	
luasocket	MIT	https://lunarmodules.github.io/luasocket/	LuaSocket is a Lua extension library that is composed by two parts: a C core that provides support for the TCP and UDP transport layers, and a set of Lua modules that add support for functionality commonly needed by applications that deal with the Internet.	
lunasvg	MIT	https://github.com/sammycage/lunasvg	lunasvg is a standalone SVG rendering library in C++	
luv	Apache-2.0	https://github.com/luvit/luv	Bare libuv bindings for lua	
lv2	ISC	https://lv2plug.in	LV2 is a plugin standard for audio systems. It defines a minimal yet extensible C API for plugin code and a format for plugin "bundles".	
lz4	BSD-2-Clause AND GPL-2.0-only	https://github.com/lz4/lz4	Lossless compression algorithm, providing compression speed at 400 MB/s per core.	
lzfse		https://github.com/lzfse/lzfse	Lempel-Ziv style data compressor using Finite State Entropy coding.	
lzo		https://www.oberhumer.com/opensource/lzo/	Lossless data compression library	
lzokay		https://github.com/jackoalan/lzokay	lzokay – MIT licensed C++ implementation of LZO compression/decompression algorithm	
magic-enum	MIT	https://github.com/Neargye/magic_enum	Header-only C++17 library provides static reflection for enums, work with any enum type without any macro or boilerplate code.	
magic-get		https://github.com/apolukhin/magic_get	Deprecated boost-pfr port.	
magnum	None	https://magnum.graphics/	C++11/C++14 graphics middleware for games and data visualization	
magnum-extras	None	https://magnum.graphics/	Extras for magnum, C++11/C++14 graphics middleware for games and data visualization	
magnum-integration	None	https://magnum.graphics/	Integrations for magnum, C++11/C++14 graphics middleware for games and data visualization	
magnum-plugins	None	https://magnum.graphics/	Plugins for magnum, C++11/C++14 graphics middleware for games and data visualization	
mailio	BSD-2-Clause	https://github.com/karastojko/mailio	mailio is a cross platform C++ library for MIME format and SMTP, POP3 and IMAP protocols. It is based on the standard C++ 17 and Boost library.	
mapbox-geojson-cpp		https://github.com/mapbox/geojson-cpp	A C++14 library for converting GeoJSON into geometry.hpp representation	
mapbox-geojson-vt-cpp		https://github.com/mapbox/geojson-vt-cpp	Port to C++ of JS GeoJSON-VT for slicing GeoJSON into vector tiles on the fly	
mapbox-geometry		https://github.com/mapbox/geometry.hpp	C++ geometry types	
mapbox-polylabel	ISC	https://github.com/mapbox/polylabel	A fast algorithm for finding the pole of inaccessibility of a polygon (in JavaScript and C++)	
mapbox-variant			C++11/C++14 Variant	
mapbox-wagyu		https://github.com/mapbox/wagyu	A general library for geometry operations of union, intersections, difference, and xor	
mapnik	LGPL-2.1-only	https://github.com/mapnik/mapnik	Mapnik is an open source toolkit for developing mapping applications.	
marble	LGPL-2.1-or-later	https://marble.kde.org	Marble KDE library	
marisa-trie	BSD-2-Clause OR LGPL-2.1-or-later	https://github.com/s-yata/marisa-trie	Matching Algorithm with Recursively Implemented StorAge (MARISA) is a space-efficient trie data structure. This is a C++ library for an implementation of MARISA.	
marl	Apache-2.0	https://github.com/google/marl	A hybrid thread/fiber task scheduler written in modern C++	
matchit	Apache-2.0	https://github.com/BowenFu/matchit.cpp	matchit is a pattern matching library for C++17 with macro-free APIs	
materialx	Apache-2.0	https://www.materialx.org/	MaterialX is an open standard for the exchange of rich material and look-development content across applications and renderers.	
mathc		https://github.com/felselva/mathc	Pure C math library for 2D and 3D programming	
mathgl	GPL-3.0-only		MathGL is a free library of fast C++ routines for the plotting of the data varied in one or more dimensions	
matio	BSD-2-Clause	https://github.com/tbeu/matio	MATLAB MAT File I/O Library	
matplotlib-cpp		https://github.com/lava/matplotlib-cpp	Extremely simple yet powerful header-only C++ plotting library built on the popular matplotlib	
matplotplusplus	MIT	https://alandefreitas.github.io/matplotplusplus/	A C++ graphics library for data visualization	
matroska		https://github.com/Matroska-Org/libmatroska	a C++ library to parse Matroska files (.mkv and .mka)	
mbedtls	Apache-2.0	https://github.com/ARMmbed/mbedtls	An open source, portable, easy to use, readable and flexible SSL library	
mchehab-zbar	LGPL-2.1-or-later	https://github.com/mchehab/zbar	ZBar is an open source software suite for reading bar codes from various sources, including webcams. This fork is actively maintained.	
mcpp		https://github.com/zeroc-ice/mcpp	Fork of mcpp, a C/C++ preprocessor	
mdl-sdk	BSD-3-Clause	https://github.com/NVIDIA/MDL-SDK	NVIDIA Material Definition Language SDK	
mdns	Unlicense	https://github.com/mjansson/mdns	Public domain mDNS/DNS-SD library in C	
mdnsresponder	Apache-2.0	https://github.com/apple-oss-distributions/mDNSResponder	The mDNSResponder project is a component of Bonjour, Apple's ease-of-use IP networking initiative.	
mdspan	BSD-3-Clause	https://github.com/kokkos/mdspan	A non-owning multi-dimensional array reference type.	
mecab			A morphological analysis engine based on CRF	
memorymodule		https://github.com/fancycode/MemoryModule	Library to load a DLL from memory	
mesa	MIT AND BSL-1.0 AND SGI-B-2.0	https://www.mesa3d.org/	Mesa - The 3D Graphics Library	
meschach		https://homepage.math.uiowa.edu/~dstewart/meschach	Matrix computations in C	
meshoptimizer	MIT	https://github.com/zeux/meshoptimizer	Mesh optimization library that makes meshes smaller and faster to render	
metis	Apache-2.0	https://github.com/KarypisLab/METIS	Serial Graph Partitioning and Fill-reducing Matrix Ordering	
metrohash		https://github.com/jandrewrogers/MetroHash	MetroHash is a set of state-of-the-art hash functions for non-cryptographic use cases	
mfl	MIT	https://github.com/cpp-niel/mfl	Computes the layout information for mathematical formulas provided in TeX-like syntax.	
mfx-dispatch	BSD-3-Clause	https://github.com/lu-zero/mfx_dispatch	Open source Intel media sdk dispatcher	
mgnlibs	MIT	https://github.com/mattiasgustavsson/libs	Single-file public domain libraries for C/C++	
mhook			A Windows API hooking library.	
microsoft-signalr		https://github.com/aspnet/SignalR-Client-Cpp	C++ Client for ASP.NET Core SignalR.	
mikktspace		https://github.com/mmikk/MikkTSpace	A common standard for tangent space used in baking tools to produce normal maps	
milerius-sfml-imgui	MIT	https://github.com/Milerius/imgui-sfml-shared	imgui dll for sfml usage	
mimalloc	MIT	https://github.com/microsoft/mimalloc	Compact general purpose allocator with excellent performance	
minc	None	https://github.com/BIC-MNI/libminc	MINC - Medical Image NetCDF or MINC isn't netCDF	
minhook			The Minimalistic x86/x64 API Hooking Library for Windows.	
minifb	MIT	https://github.com/emoon/minifb	MiniFB (Mini FrameBuffer) is a small cross platform library that makes it easy to render (32-bit) pixels in a window.	
minimp3	CC0-1.0	https://github.com/lieff/minimp3	Minimalistic, single-header library for decoding MP3. minimp3 is designed to be small, fast (with SSE and NEON support), and accurate (ISO conformant).	
minio-cpp	Apache-2.0	https://github.com/minio/minio-cpp	The MinIO C++ Client SDK provides simple APIs to access any Amazon S3 compatible object storage	
minisat-master-keying		https://github.com/master-keying/minisat	['A minimalistic high-performance SAT solver', 'This is a modernized, cross-platform, CMake-enabled fork of the original MiniSat.']	
minitrace			Simple C/C++ library for producing JSON traces suitable for Chrome's built-in trace viewer.	
miniupnpc			UPnP client library/tool to access Internet Gateway Devices	
miniz	MIT	https://github.com/richgel999/miniz	Single C source file zlib-replacement library	
minizip	Zlib	https://github.com/madler/zlib	Zip compression library	
minizip-ng	Zlib	https://github.com/zlib-ng/minizip-ng	minizip-ng is a zip manipulation library written in C that is supported on Windows, macOS, and Linux.	
mio	MIT	https://github.com/mandreyel/mio	Cross-platform header-only C++11 library for memory mapped file IO.	
mlpack	BSD-3-Clause	https://github.com/mlpack/mlpack	mlpack is an intuitive, fast, and flexible header-only C++ machine learning library with bindings to other languages.	
mman		https://github.com/witwall/mman-win32	A light implementation of the mmap functions for MinGW.	
mmloader	MIT	http://tishion.github.io/mmLoader/	A library for loading dll module bypassing windows PE loader from memory (x86/x64)	
mmx		https://github.com/vurtun/mmx	Single header libraries for C/C++	
mnn	Apache-2.0	https://www.mnn.zone/	MNN is a blazing fast, lightweight deep learning framework, battle-tested by business-critical use cases in Alibaba	
modp-base64	MIT	https://github.com/client9/stringencoders	High performance base64 encoder/decoder	
mongo-c-driver	None	https://github.com/mongodb/mongo-c-driver	Client library written in C for MongoDB.	
mongo-cxx-driver	Apache-2.0	https://github.com/mongodb/mongo-cxx-driver	MongoDB C++ Driver.	
mongoose	None	https://cesanta.com/	Embedded web server / embedded networking library	
monkeys-audio	None	https://monkeysaudio.com	["Monkey's Audio is an excellent audio compression tool which has multiple advantages over traditional methods.", 'Audio files compressed with it end with .ape extension.']	
moos-core	None	https://sites.google.com/site/moossoftware/	A very light weight, easy to use middleware.	
moos-essential		https://sites.google.com/site/moossoftware/	a set of useful applications that leverage the core-moos communications layer.	
moos-ui		https://sites.google.com/site/moossoftware/	set of user interface tools to use and leverage the MOOS project.	
morton-nd		https://github.com/kevinhartman/morton-nd	header-only constexpr library for fast Morton encoding/decoding in N dimensions.	
mosquitto	EPL-2.0	https://mosquitto.org/	Mosquitto is an open source message broker that implements the MQ Telemetry Transport protocol versions 3.1 and 3.1.1, MQTT provides a lightweight method of carrying out messaging using a publish/subscribe model, This makes it suitable for machine to machine messaging such as with low power sensors or mobile devices such as phones, embedded computers or microcontrollers like the Arduino	
mozjpeg	IJG AND BSD-3-Clause AND Zlib	https://github.com/mozilla/mozjpeg	MozJPEG reduces file sizes of JPEG images while retaining quality and compatibility with the vast majority of the world's deployed decoders. It's compatible with libjpeg API and ABI, and can be used as a drop-in replacement for libjpeg.	
mp-units	MIT	https://github.com/mpusz/units	mp-units - A Units Library for C++	
mp3lame	LGPL-2.0-only	https://sourceforge.net/projects/lame	LAME is a high quality MPEG Audio Layer III (MP3) encoder licensed under the LGPL.	
mpark-variant			an implementation of C++17 std::variant for C++11/14/17.	
mpc		http://www.multiprecision.org/mpc/	GNU MPC is a C library for the arithmetic of complex numbers with arbitrarily high precision and correct rounding of the result.	
mpfr	LGPL-3.0-or-later	https://www.mpfr.org	The MPFR library is a C library for multiple-precision floating-point computations with correct rounding	
mpg123	LGPL-2.1-or-later	https://sourceforge.net/projects/mpg123/	mpg123 is a real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3 (MPEG 1.0 layer 3 also known as MP3).	
mpi	None		Message Passing Interface (MPI) is a standardized and portable message-passing standard designed by a group of researchers from academia and industry to function on a wide variety of parallel computing architectures. The standard defines the syntax and semantics of a core of library routines useful to a wide range of users writing portable message-passing programs in C, C++, and Fortran. There are several well-tested and efficient implementations of MPI, many of which are open-source or in the public domain.	
mpir	GPL-3.0-only	https://github.com/wbhart/mpir	Multiple Precision Integers and Rationals	
mpmcqueue	MIT	https://github.com/rigtorp/MPMCQueue	A bounded multi-producer multi-consumer lock-free queue written in C++11	
mqtt-cpp	BSL-1.0	https://github.com/redboltz/mqtt_cpp	Header-only MQTT client/server for C++14 based on Boost.Asio.	
ms-angle			Deprecated alias for ms-angle	
ms-gltf	MIT	https://github.com/microsoft/glTF-SDK	glTF-SDK is a C++ Software Development Kit for glTF	
ms-gsl		https://github.com/Microsoft/GSL	Microsoft implementation of the Guidelines Support Library	
ms-quic	MIT	https://github.com/microsoft/msquic	Cross-platform, C implementation of the IETF QUIC protocol	
msdfgen	MIT	https://github.com/Chlumsky/msdfgen	Multi-channel signed distance field generator	
msgpack	BSL-1.0	https://github.com/msgpack/msgpack-c	MessagePack is an efficient binary serialization format, which lets you exchange data among multiple languages like JSON, except that it's faster and smaller.	
msgpack11		https://msgpack.org	msgpack11 is a tiny MsgPack library for C++11, providing MsgPack parsing and serialization.This library is inspired by json11.The API of msgpack11 is designed to be similar with json11.	
msinttypes		https://github.com/chemeris/msinttypes	msinttypes is a package to provide missing  ISO C9x  compliant headers for Microsoft Visual Studio	
msix	MIT	https://github.com/microsoft/msix-packaging	The MSIX Packaging SDK project is an effort to enable developers on a variety of platforms to pack and unpack packages for the purposes of distribution from either the Microsoft Store, or their own content distribution networks.The MSIX Packaging APIs that a client app would use to interact with .msix/.appx packages are a subset of those documented here. See sample/ExtractContentsSample/ExtractContentsSample.cpp for additional details.	
